0,Car_ID,Year,Make,Model,0
156,187,2007,Subaru,Legacy,6
157,212,2001,Lexus,Is300,6
158,71,2008,Acura,TL,6
159,64,2004,Subaru,Forester,6
160,75,2012,Subaru,WRX,6
161,72,2016,Civic,Si,4
162,66,2010,Volkswagen,Gti,4
163,174,2006,Acura,Rsx,4
164,197,2010,Audi,A4,2
165,101,2014,Honda,Civic,0
166,70,2014,Honda,Civic,0
167,0,2015,Chevy,Camaro,0
